Average Youtube score for each Country
Argentina: 53.687124368342204
China: 23.657676473066143
France: 85.14622290645757
Germany: 63.75888179194082
Greece: 37.27148770814562
Hungary: 234.97179934583795
India: 312.05393785910707
Indonesia: 86.83933512600483
Italy: 50.5728800352637
Japan: 85.50198450952969
Mexico: 93.29917174914605
Peru: 172.84915789882047
Philippines: 23.77613540604562
Portugal: 27.668266156449068
Spain: 35.91946296964372
Thailand: 264.2674465822476
Turkey: 27.00214410339075
United Kingdom: 49.80641620513271
Vietnam: 28.0686491963106
United States of America: 69.37593223414162
